,GENDER,AGE,SMOKING,YELLOW_FINGERS,ANXIETY,PEER_PRESSURE,CHRONIC DISEASE,FATIGUE ,ALLERGY ,WHEEZING,ALCOHOL CONSUMING,COUGHING,SHORTNESS OF BREATH,SWALLOWING DIFFICULTY,CHEST PAIN,LUNG_CANCER
count,309,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309
unique,2,,,,,,,,,,,,,,,2
top,M,,,,,,,,,,,,,,,YES
freq,162,,,,,,,,,,,,,,,270
mean,,62.67313915857605,1.5631067961165048,1.5695792880258899,1.4983818770226538,1.5016181229773462,1.5048543689320388,1.6731391585760518,1.5566343042071198,1.5566343042071198,1.5566343042071198,1.5792880258899675,1.6407766990291262,1.4692556634304208,1.5566343042071198,
std,,8.210301387885995,0.4968060894409518,0.49593819429101677,0.5008084079652348,0.5008084079652348,0.5007874268634864,0.46982676766120723,0.49758801243408385,0.49758801243408385,0.4975880124340838,0.49447415124782723,0.48055100136181955,0.49986338653997353,0.4975880124340838,
min,,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25%,,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50%,,62.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,
75%,,69.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
max,,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
